soundFile,df,soa
stimuli/stim_df2_soa0.09.wav,2,0.09
stimuli/stim_df2_soa0.12.wav,2,0.12
stimuli/stim_df2_soa0.18.wav,2,0.18
stimuli/stim_df4_soa0.09.wav,4,0.09
stimuli/stim_df4_soa0.12.wav,4,0.12
stimuli/stim_df4_soa0.18.wav,4,0.18
stimuli/stim_df6_soa0.09.wav,6,0.09
stimuli/stim_df6_soa0.12.wav,6,0.12
stimuli/stim_df6_soa0.18.wav,6,0.18
stimuli/stim_df8_soa0.09.wav,8,0.09
stimuli/stim_df8_soa0.12.wav,8,0.12
stimuli/stim_df8_soa0.18.wav,8,0.18
stimuli/stim_df10_soa0.09.wav,10,0.09
stimuli/stim_df10_soa0.12.wav,10,0.12
stimuli/stim_df10_soa0.18.wav,10,0.18
stimuli/stim_df12_soa0.09.wav,12,0.09
stimuli/stim_df12_soa0.12.wav,12,0.12
stimuli/stim_df12_soa0.18.wav,12,0.18
